placeholder,text
leap-id,liv_021129
title-without-date,Edward Wilmot Blyden
title-double-quotes-to-single,
title-with-date,"Edward Wilmot Blyden, [mid-nineteenth century]"
first-author-surname-forename-dates,Anonymous
first-author-surname-forename,Anonymous
first-author-forename-surname,Anonymous
second-author-surname-forename-dates,
second-author-forename-surname,
url-of-source,https://commons.wikimedia.org/wiki/File:Edward_Wilmot_Blyden_(c._1900).jpg
formal-name-of-source,Wikimedia Commons
license-statement,Public domain
license-url,
license,
repository-country,
repository-city,
repository-name,Wikimedia Commons
shelfmark,
first-author-initials,An
composition-or-publication,composition
composition-or-publication-yyyy-mm-dd,
composition-or-publication-day-month-year,[mid-nineteenth century]
composition-place,
revision-yyyy-mm-dd,2023-09-13
img-alt-text,"Head and shoulders portrait of Edward Wilmot Blyden."
figure-caption,Edward Wilmot Blyden
figure-date,mid-nineteenth century
leap-id-with-suffix,liv_021129_ART
