placeholder,text
leap-id,liv_021130
title-without-date,Edward Wilmot Blyden
title-double-quotes-to-single,
title-with-date,"Edward Wilmot Blyden, [mid- to late-nineteenth century]"
first-author-surname-forename-dates,Anonymous
first-author-surname-forename,Anonymous
first-author-forename-surname,Anonymous
second-author-surname-forename-dates,
second-author-forename-surname,
url-of-source,https://commons.wikimedia.org/wiki/File:Blyden_E_W_3c35638r.jpg
formal-name-of-source,Wikimedia Commons
license-statement,Public domain
license-url,
license,
repository-country,
repository-city,
repository-name,Wikimedia Commons
shelfmark,
first-author-initials,An
composition-or-publication,composition
composition-or-publication-yyyy-mm-dd,
composition-or-publication-day-month-year,[mid- to late-nineteenth century]
composition-place,
revision-yyyy-mm-dd,2023-09-13
img-alt-text,"Edward Wilmot Blyden, seated, holding book, turned to his right, but facing forward."
figure-caption,Edward Wilmot Blyden
figure-date,mid- to late-nineteenth century
leap-id-with-suffix,liv_021130_ART
