placeholder,text
leap-id,liv_021128
title-without-date,Yone Noguchi
title-double-quotes-to-single,
title-with-date,"Yone Noguchi, 1915"
first-author-surname-forename-dates,"Markino, Yoshio, 1897-1942"
first-author-surname-forename,"Markino, Yoshio"
first-author-forename-surname, Yoshio Markino
second-author-surname-forename-dates,
second-author-forename-surname,
url-of-source,https://archive.org/details/storyofyonenoguc00nogurich/page/n7/mode/2up
formal-name-of-source,Internet Archive
license-statement,Public domain.
license-url,
license,
source-book-or-journal-title,The Story of Yone Noguchi: Told by Himself
source-author-forename-surname,Yone Noguchi
source-editor-forename-surname,
source-vol-no,
source-issue-no,
source-page-nos,frontispiece
source-publication-place,Philadelphia
source-publisher,George W. Jacobs &amp; Co.
source-publication-date,1915
first-author-initials,YM
composition-or-publication,publication
composition-or-publication-yyyy-mm-dd,1915
composition-or-publication-day-month-year,1915
composition-place,
revision-yyyy-mm-dd,2023-09-10
img-alt-text,"Head and shoulders portrait of Yone Noguchi in half profile, facing left."
figure-caption,Yone Noguchi
figure-date,1915
leap-id-with-suffix,liv_021128_ART
