placeholder,text
leap-id,liv_021127
title-without-date,Apolo Kagwa
title-double-quotes-to-single,
title-with-date,"Apolo Kagwa, 1902"
first-author-surname-forename-dates,Anonymous
first-author-surname-forename,Anonymous
first-author-forename-surname,Anonymous
second-author-surname-forename-dates,
second-author-forename-surname,
url-of-source,https://archive.org/details/cu31924087982504/page/696/mode/2up
formal-name-of-source,Internet Archive
license-statement,Public domain.
license-url,
license,
source-book-or-journal-title,The Uganda Protectorate
source-author-forename-surname,Harry Johnston
source-editor-forename-surname,
source-vol-no,
source-issue-no,
source-page-nos,2:696
source-publication-place,London
source-publisher,Hutchinson &amp; Co.
source-publication-date,1902
first-author-initials,An
composition-or-publication,publication
composition-or-publication-yyyy-mm-dd,1902
composition-or-publication-day-month-year,1902
composition-place,
revision-yyyy-mm-dd,2023-09-08
img-alt-text,"Apolo Kagwa, seated, facing forward."
figure-caption,Apolo Kagwa
figure-date,1902
leap-id-with-suffix,liv_021127_ART
